08/28/2023,ZZHCERSJ,05/30/2023,HISPANIC,M,33,285000,"FAILURE TO APPEAR, FIRST DEGREE       DF",HARTFORD CC,NONE,ANDRE,GONZALEZ
08/28/2023,ZZSSSCZZ,07/14/2023,HISPANIC,M,34,20000,CRIM VIOL OF PROTECTIVE ORDER         DF,HARTFORD CC,NONE,JASON,DORSEY
08/28/2023,ZZSZJEBJ,06/12/2023,HISPANIC,M,40,55050,SALE OF NARC/AMPHET BY NON-DEPENDENT   F,NEW HAVEN CC,NONE,TODD,DAVIS
08/28/2023,ZZSSSBJE,07/31/2023,HISPANIC,M,43,350000,"ASSAULT, FIRST DEGREE                 BF",BRIDGEPORT CC,NONE,KYLE,REYNOLDS
08/28/2023,ZZSSSJEE,08/01/2023,HISPANIC,M,27,25000,INJURY OR RISK OF INJURY TO MINOR      F,CORRIGAN CI,NONE,JAMES,EVANS
08/28/2023,ZZHBWRHS,05/09/2023,WHITE,M,31,340100,"BURGLARY, FIRST DEGREE                BF",NEW HAVEN CC,NONE,MATHEW,LEON
08/28/2023,ZZHWSHSC,07/03/2023,BLACK,M,34,17500,"ASSAULT 3RD DEGREE, VICTIM OVER 59    AM",BRIDGEPORT CC,NONE,MARCUS,BECKER
08/28/2023,ZZSSEHJR,01/23/2023,WHITE,M,44,500000,CRIM VIOL OF PROTECTIVE ORDER         AM,CHESHIRE CI,NONE,MARK,WOOD
08/28/2023,ZZSRSBLL,05/19/2023,HISPANIC,M,29,27900,"CRIMINAL TRESPASS, FIRST DEGREE       AM",NEW HAVEN CC,NONE,JORDAN,THOMAS
08/28/2023,ZZSSSZZL,05/12/2023,WHITE,F,28,155000,IDENTITY THEFT 2ND DEGREE             CF,YORK CI,OTHER STATE,TIFFANY,ANDERSON
08/28/2023,ZZSSSZSL,05/16/2023,HISPANIC,M,28,353000,HOME INVASION                         AF,BRIDGEPORT CC,NONE,KEVIN,SHORT
